,Stand (cm t.o.v. NAP)
2010-12-29,11.66
2010-12-30,11.66
2010-12-31,11.700000000000001
2011-01-01,11.72
2011-01-02,11.74
2011-01-03,11.75
2011-01-04,11.66
2011-01-05,11.6
2011-01-06,11.57
2011-01-07,11.74
2011-01-08,12.36
2011-01-09,14.64
2011-01-10,15.46
2011-01-11,15.36
2011-01-12,15.14
2011-01-13,14.66
2011-01-14,14.43
2011-01-15,14.75
2011-01-16,14.86
2011-01-17,14.68
2011-01-18,14.200000000000001
2011-01-19,13.65
2011-01-20,13.38
2011-01-21,13.21
2011-01-22,13.02
2011-01-23,12.83
2011-01-24,12.58
2011-01-25,12.41
2011-01-26,12.3
2011-01-27,12.25
2011-01-28,12.21
2011-01-29,12.13
2011-01-30,12.040000000000001
2011-01-31,11.96
2011-02-01,11.9
2011-02-02,11.82
2011-02-03,11.77
2011-02-04,11.73
2011-02-05,11.71
2011-02-06,11.68
2011-02-07,11.65
2011-02-08,11.6
2011-02-09,11.58
2011-02-10,11.56
2011-02-11,11.57
2011-02-12,11.620000000000001
2011-02-13,11.64
2011-02-14,11.6
2011-02-15,11.6
2011-02-16,11.61
2011-02-17,11.58
2011-02-18,11.56
2011-02-19,11.55
2011-02-20,11.53
2011-02-21,11.53
2011-02-22,11.5
2011-02-23,11.48
2011-02-24,11.46
2011-02-25,11.48
2011-02-26,11.49
2011-02-27,11.5
2011-02-28,11.57
2011-03-01,11.55
2011-03-02,11.540000000000001
2011-03-03,11.5
2011-03-04,11.51
2011-03-05,11.49
2011-03-06,11.47
2011-03-07,11.46
2011-03-08,11.43
2011-03-09,11.43
2011-03-10,11.43
2011-03-11,11.41
2011-03-12,11.39
2011-03-13,11.41
2011-03-14,11.38
2011-03-15,11.39
2011-03-16,11.370000000000001
2011-03-17,11.38
2011-03-18,11.36
2011-03-19,11.36
2011-03-20,11.36
2011-03-21,11.36
2011-03-22,11.370000000000001
2011-03-23,11.35
2011-03-24,11.34
2011-03-25,11.34
2011-03-26,11.34
2011-03-27,11.32
2011-03-28,11.35
2011-03-29,11.32
2011-03-30,11.32
2011-03-31,11.32
2011-04-01,11.32
2011-04-02,11.31
2011-04-03,11.33
2011-04-04,11.34
2011-04-05,11.32
2011-04-06,11.32
2011-04-07,11.31
2011-04-08,11.31
2011-04-09,11.3
2011-04-10,11.290000000000001
2011-04-11,11.3
2011-04-12,11.3
2011-04-13,11.290000000000001
2011-04-14,11.290000000000001
2011-04-15,11.3
2011-04-16,11.28
2011-04-17,11.31
2011-04-18,11.27
2011-04-19,11.28
2011-04-20,11.27
2011-04-21,11.26
2011-04-22,11.27
2011-04-23,11.26
2011-04-24,11.28
2011-04-25,11.290000000000001
2011-04-26,11.26
2011-04-27,11.26
2011-04-28,11.26
2011-04-29,11.26
2011-04-30,11.25
2011-05-01,11.26
2011-05-02,11.25
2011-05-03,11.24
2011-05-04,11.24
2011-05-05,11.25
2011-05-06,11.23
2011-05-07,11.25
2011-05-08,11.25
2011-05-09,11.23
2011-05-10,11.23
2011-05-11,11.24
2011-05-12,11.25
2011-05-13,11.23
2011-05-14,11.22
2011-05-15,11.25
2011-05-16,11.24
2011-05-17,11.25
2011-05-18,11.24
2011-05-19,11.24
2011-05-20,11.21
2011-05-21,11.22
2011-05-22,11.28
2011-05-23,11.21
2011-05-24,11.21
2011-05-25,11.21
2011-05-26,11.21
2011-05-27,11.19
2011-05-28,11.200000000000001
2011-05-29,11.19
2011-05-30,11.200000000000001
2011-05-31,11.22
2011-06-01,11.21
2011-06-02,11.200000000000001
2011-06-03,11.24
2011-06-04,11.200000000000001
2011-06-05,11.21
2011-06-06,11.19
2011-06-07,11.22
2011-06-08,11.24
2011-06-09,11.22
2011-06-10,11.19
2011-06-11,11.22
2011-06-12,11.24
2011-06-13,11.25
2011-06-14,11.24
2011-06-15,11.22
2011-06-16,11.21
2011-06-17,11.21
2011-06-18,11.200000000000001
2011-06-19,11.25
2011-06-20,11.200000000000001
2011-06-21,11.21
2011-06-22,11.21
2011-06-23,11.19
2011-06-24,11.21
2011-06-25,11.22
2011-06-26,11.22
2011-06-27,11.19
2011-06-28,11.21
2011-06-29,11.22
2011-06-30,11.21
2011-07-01,11.200000000000001
2011-07-02,11.200000000000001
2011-07-03,11.24
2011-07-04,11.19
2011-07-05,11.19
2011-07-06,11.18
2011-07-07,11.16
2011-07-08,11.200000000000001
2011-07-09,11.17
2011-07-10,11.22
2011-07-11,11.19
2011-07-12,11.17
2011-07-13,11.21
2011-07-14,11.19
2011-07-15,11.18
2011-07-16,11.200000000000001
2011-07-17,11.22
2011-07-18,11.200000000000001
2011-07-19,11.19
2011-07-20,11.19
2011-07-21,11.19
2011-07-22,11.19
2011-07-23,11.200000000000001
2011-07-24,11.22
2011-07-25,11.19
2011-07-26,11.19
2011-07-27,11.18
2011-07-28,11.21
2011-07-29,11.19
2011-07-30,11.200000000000001
2011-07-31,11.17
2011-08-01,11.21
2011-08-02,11.19
2011-08-03,11.17
2011-08-04,11.200000000000001
2011-08-05,11.19
2011-08-06,11.17
2011-08-07,11.16
2011-08-08,11.16
2011-08-09,11.17
2011-08-10,11.200000000000001
2011-08-11,11.18
2011-08-12,11.18
2011-08-13,11.18
2011-08-14,11.17
2011-08-15,11.23
2011-08-16,11.19
2011-08-17,11.18
2011-08-18,11.17
2011-08-19,11.19
2011-08-20,11.21
2011-08-21,11.23
2011-08-22,11.200000000000001
2011-08-23,11.200000000000001
2011-08-24,11.19
2011-08-25,11.17
2011-08-26,11.18
2011-08-27,11.200000000000001
2011-08-28,11.17
2011-08-29,11.200000000000001
2011-08-30,11.19
2011-08-31,11.18
2011-09-01,11.19
2011-09-02,11.18
2011-09-03,11.18
